reading_score,math_score,knowledge_score,p2income,incomecat
36.58,39.54,33.822,140000,3
50.82,44.44,38.147,120000,3
40.68,28.57,28.108,90000,3
32.57,23.57,15.404,50000,2
31.98,19.65,18.727,55000,2
50.45,36.27,33.352,150000,3
32.49,20.82,26.211,42000,2
33.3,26.85,27.072,70000,3
65.92,47.36,33.514,100000,3
34.2,22.27,28.096,78000,3
26.77,15.97,11.269,2000,1
43.01,33.26,24.71,50000,2
27.9,20.23,21.195,9000,1
32.05,20.27,14.7,18000,1
26.85,25.83,23.977,41000,2
27.46,13.92,18.558,35000,1
37.42,29.9,20.702,30000,1
38.71,25.87,27.976,55000,2
36.05,27.04,33.879,24000,1
28.97,21.08,25.621,27000,1
33.47,32.3,23.991,22000,1
35.25,29.41,14.994,15000,1
35.04,27.45,27.33,7000,1
27.76,25.85,34.184,36000,1
27.38,20.95,13.81,15000,1
28.18,13.48,11.294,3300,1
23.93,17.59,20.634,20000,1
23.57,15.65,14.549,13000,1
24.97,12.38,9.223,4000,1
23.64,12.45,8.074,11000,1
32.38,22.12,17.668,13000,1
40.55,33.97,17.817,85000,3
37.23,40.17,29.128,55000,2
35.26,30.7,17.128,26000,1
38.48,28.58,18.303,12000,1
26.99,13.96,18.48,40000,2
31.25,20.13,22.376,32000,1
29.04,23.93,23.862,32000,1
28.73,12.41,17.868,5000,1
38.55,27.56,14.914,8000,1
32.03,27.14,20.319,10000,1
25.67,19.61,14.374,13000,1
36.37,25.86,12.238,26000,1
37.79,33.78,23.882,106000,3
41.68,24.32,29.132,80000,3
75.86,43.2,33.457,110000,3
48.74,22.73,8.549,18000,1
38.18,23.78,34.538,65000,2
34.73,21.04,24.08,36000,1
36.11,26.18,24.452,110000,3
40.23,20.27,29.358,110000,3
49.83,46.38,34.954,43000,2
40.34,29.05,25.332,45000,2
27.63,16.91,18.728,60000,2
49.48,34.71,36.22,85000,3
30.79,28.82,16.93,55000,2
59.67,47.11,34.133,27000,1
39.14,22.45,29.088,60000,2
41.46,30.8,31.58,56000,2
42.69,29.19,30.07,30000,1
27.11,16.15,20.215,3000,1
38.5,20.68,23.785,33000,1
29.94,29.48,28.311,16000,1
29.44,23.87,13.11,23000,1
37.8,25.84,25.226,17000,1
32.96,26.34,17.541,65000,2
32.24,26.29,21.617,32000,1
35.12,28.62,21.689,89000,3
34.51,27.38,20.308,75000,3
29.6,18.65,20.549,40000,2
30.2,21.56,14.063,20000,1
22.23,12.62,6.985,20000,1
27.89,13.93,14.109,33000,1
27.09,27.13,24.789,49000,2
32.86,17.28,17.847,33000,1
26.25,13.24,16.877,18000,1
34.68,28.93,17.158,30000,1
38.92,30.77,19.207,40000,2
23.96,29.01,24.24,14000,1
26.28,19.71,25.772,23000,1
33.9,24.19,27.494,19000,1
25.46,17.41,16.572,3800,1
37.55,22.2,17.758,19000,1
33.12,12.86,18.535,50000,2
36.22,25.48,25.547,35000,1
35.87,20,13.926,35000,1
31.51,18.76,27.232,60000,2
46.1,29.53,27.444,110000,3
27.09,21.63,16.417,19000,1
26.34,20.86,15.618,23000,1
30.83,20.3,15.824,26000,1
27.97,28.15,21.73,54000,2
48.38,36.98,32.065,60000,2
33.64,33.19,28.682,65000,2
27.82,28.69,30.047,150000,3
30.53,19.65,25.005,35000,1
33.44,26.2,27.17,33000,1
33.12,19.57,28.935,40000,2
33.02,21.07,22.737,60000,2
33,41.79,33.161,57000,2
28.84,19.77,30.533,46000,2
26,17.97,30.121,40000,2
32.83,19.64,15.12,45000,2
26.43,20.39,14.573,40000,2
29.75,18.58,27.47,54000,2
46.25,40.64,30.74,60000,2
23.85,18.07,20.771,18000,1
32.27,19.78,27.461,45000,2
47.8,40.11,40.873,90000,3
48.56,45.53,30.807,45000,2
36.14,55.17,38.514,45000,2
56.44,47.25,25.523,100000,3
52.33,36.37,39.685,150000,3
33.61,35.33,39.064,87000,3
39.02,37.89,32.449,70000,3
30.86,21.31,29.147,47000,2
30.31,17.33,19.253,25000,1
37.49,28.91,26.234,35000,1
25.49,13.39,19.729,38000,1
31.92,18.21,18.248,40000,2
24.99,17.45,14.763,13000,1
49.66,31.02,27.252,10000,1
30.95,29.58,32.209,37000,1
31.3,26.68,15.862,10000,1
48.88,31.2,30.573,33000,1
35.66,26.98,25.742,45000,2
22.83,12.55,18.66,10000,1
28.14,26.72,19.009,14000,1
40.68,28.63,22.995,37000,1
49.46,37.81,24.432,35000,1
25.07,13.38,14.85,10000,1
29.58,28.78,26.778,12000,1
35.42,39.55,28.987,50000,2
34.41,28.63,23.808,35000,1
24.5,17.99,22.33,30000,1
24.96,17.85,19.559,40000,2
24.02,20.42,16.603,16776,1
24.02,12.72,7.847,31000,1
24.39,18.03,19.833,30000,1
24.06,17.8,10.539,6888,1
41.12,22.33,12.682,37000,1
32.1,19.97,24.084,45000,2
45.72,40.7,32.371,35000,1
30.73,16.5,14.019,35000,1
31.65,18.22,21.428,29100,1
41.33,32.34,19.135,35000,1
35.52,22.84,23.684,20000,1
26.72,24.52,27.272,68000,2
30.63,21.62,28.241,34000,1
36.16,39.66,19.835,95000,3
27.6,19.85,22.741,12000,1
33.02,22.3,20.52,60000,2
29.2,22.35,27.015,11000,1
32.89,26.03,25.734,25000,1
32.58,24.02,20.697,16000,1
38.09,28.25,26.712,50000,2
29.09,29.95,22.728,74000,3
32.93,22.47,24.456,40000,2
33.21,24.19,23.802,26000,1
33.93,25.04,28.762,35000,1
26.01,18.69,11.046,30000,1
33.41,24.67,26.851,150000,3
25.32,19.36,22.947,54000,2
35.24,22.22,14.195,12000,1
27.73,17.51,21.445,29000,1
24.24,16.48,23.099,39000,1
23.55,16.13,15.156,30000,1
32.25,20.98,27.992,29000,1
32.75,21.98,18.49,80000,3
30.69,20.65,17.916,35000,1
31.33,20.68,21.485,24000,1
37.24,32.41,34.018,68000,2
34.28,26.36,18.271,17000,1
29.24,28,29.977,70000,3
24.92,19.26,28.032,20000,1
36.18,28.39,30.615,50000,2
37.27,27.99,24.423,10000,1
28.55,19.77,22.946,150000,3
28.33,20.33,21.987,34000,1
27.31,18.61,22.79,27500,1
31.03,28.61,23.349,35000,1
32.06,33.02,30.303,65000,2
25.71,17.73,7.914,68000,2
33.77,31.74,27.094,56000,2
39.84,26.32,24.224,32000,1
34.43,31.5,28.921,70000,3
32.17,22.81,15.748,45000,2
28.94,22.07,25.928,37500,1
32.31,21.61,15.549,68000,2
32.58,34.27,20.78,70000,3
39.88,31.7,24.124,24000,1
41.63,25.64,22.402,70000,3
27.84,20.8,12.386,18000,1
32.31,19.6,21.063,7000,1
37.34,27.47,29.193,10000,1
45.32,26.76,21.984,25000,1
36.37,35.99,29.074,5000,1
30.9,19.08,15.846,57000,2
34.69,22.84,14.677,55000,2
34.37,21.26,30.671,46000,2
43.38,25.53,17.973,7000,1
22.24,13.59,10.137,7900,1
31.42,19.32,26.036,42000,2
56.79,44.31,42.468,45000,2
32.59,20.41,12.165,35000,1
36.84,32.84,28.42,54000,2
43.97,33.38,40.325,65000,2
34.01,22.93,22.957,60000,2
30.96,22.67,28.079,45000,2
40.5,25.55,24.836,55000,2
34.4,21.34,24.866,70000,3
36.13,26.83,28.731,75000,3
28.87,33.97,31.641,100000,3
46.37,32.18,21.674,60000,2
31.51,25.98,23.619,40000,2
54.1,42.62,29.716,90000,3
28.62,23.26,18.708,45000,2
22.68,21.59,21.059,32000,1
46.56,39.05,38.405,60000,2
35.37,29.98,36.817,40000,2
31.5,20.2,27.896,37000,1
28.09,24.61,24.941,52000,2
49.11,56.43,39.263,60000,2
29.23,22.84,24.609,40000,2
32.66,28.95,34.762,100000,3
26.97,20.2,29.024,92000,3
27.87,20.4,26.254,26000,1
25.03,14.78,17.359,150000,3
28.46,14.44,17.837,18000,1
46.28,28.55,34.78,120000,3
85.2,37.88,22.828,35000,1
26.61,21.57,22.296,55000,2
34.65,19.99,22.813,28000,1
30.12,20.84,32.772,90000,3
32.89,24.66,21.977,9000,1
24.24,15.41,23.269,45000,2
37.11,23.86,20.106,50000,2
27.92,21.96,20.099,90000,3
43.19,36.16,35.153,70000,3
31.44,25.78,24.301,150000,3
31.96,24.64,23.062,128000,3
43.87,29.62,26.304,35000,1
25.14,25.7,21.738,90000,3
30.1,24.43,33.48,65000,2
47.79,38.4,33.102,93000,3
31.73,28.7,28.123,50000,2
29.7,15.23,33.364,90000,3
29.69,22.45,28.3,65000,2
35.34,27.93,33.577,55000,2
38.64,32.42,16.185,90000,3
26.79,19.72,18.595,60000,2
27.06,19.3,31.087,85000,3
42.44,32.18,16.37,40000,2
26.57,25.65,15.378,24000,1
32.07,14.36,19.989,45000,2
