geo,time,male_15
Algeria,2016,31.25
Azerbaijan,2015,2.08
Argentina,2016,21.98
Australia,2016,0
Austria,2016,28.06
Bahrain,2015,76.92
Armenia,2015,20
Belgium,2016,47.62
Bolivia (Plurinational State of),2016,12.62
Bosnia and Herzegovina,2016,0
Bulgaria,2016,7.61
Myanmar,2016,60.59
Belarus,2016,9.24
Canada,2015,3.08
Chile,2014,0
Colombia,2015,7.89
Costa Rica,2015,0
Cyprus,2016,10
Czechia,2016,0
Denmark,2016,89.26
Ecuador,2015,0
El Salvador,2016,55.1
Estonia,2016,20
Fiji,2014,0
Finland,2016,23.85
France,2016,18.01
Georgia,2016,0
Germany,2016,8.02
Greece,2016,29.03
Guatemala,2014,21.61
Guinea,2014,4.55
Honduras,2016,8.43
Hungary,2016,2.66
Ireland,2016,37.89
Israel,2016,51.06
Italy,2016,17.65
C̫te d'Ivoire,2016,0
Japan,2016,0
Lebanon,2015,0
Lesotho,2015,33.33
Latvia,2016,23.53
Lithuania,2016,48.89
Malta,2016,58.06
Mauritius,2016,0
Mexico,2016,7.09
Mongolia,2016,0
Republic of Moldova,2016,43.97
Montenegro,2016,0
Oman,2015,0
Nepal,2014,0
Netherlands,2014,10.25
New Zealand,2016,68.42
Nigeria,2016,8.36
Norway,2016,17.56
Panama,2015,9.52
Paraguay,2016,27.62
Peru,2014,5.26
Philippines,2016,14.6
Portugal,2016,79.55
Romania,2016,23.84
Serbia,2016,9.68
Singapore,2016,0
Slovakia,2016,48.89
Slovenia,2016,7.41
Spain,2016,30.64
Switzerland,2016,27.78
Tajikistan,2016,3.45
Thailand,2016,45.76
Trinidad and Tobago,2015,0
United Arab Emirates,2015,0
Turkey,2015,0.93
Uganda,2014,21.52
Ukraine,2016,18.6
The former Yugoslav Republic of Macedonia,2014,12.5
Egypt,2016,59.26
United Kingdom of Great Britain and Northern Ireland,2016,38.1
United States of America,2014,22.25
Uzbekistan,2015,67.68
Venezuela (Bolivarian Republic of),2015,0
