 GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,[Age],[Sex]
20,Andorra,2014,0,2014,18+,FEMALE
31,Azerbaijan,2014,0,2014,18+,FEMALE
32,Argentina,2014,0,2014,18+,FEMALE
51,Armenia,2014,0,2014,18+,FEMALE
56,Belgium,2014,1,2014,18+,FEMALE
68,Bolivia (Plurinational State of),2014,13,2014,18+,FEMALE
70,Bosnia and Herzegovina,2014,4,2014,18+,FEMALE
100,Bulgaria,2014,60,2014,18+,FEMALE
112,Belarus,2014,0,2014,18+,FEMALE
191,Croatia,2014,1,2014,18+,FEMALE
196,Cyprus,2014,7,2014,18+,FEMALE
218,Ecuador,2014,5,2014,18+,FEMALE
246,Finland,2014,5,2014,18+,FEMALE
348,Hungary,2014,11,2014,18+,FEMALE
372,Ireland,2014,1,2014,18+,FEMALE
392,Japan,2014,3,2014,18+,FEMALE
428,Latvia,2014,22,2014,18+,FEMALE
440,Lithuania,2014,10,2014,18+,FEMALE
498,Republic of Moldova,2014,31,2014,18+,FEMALE
528,Netherlands,2014,27,2014,18+,FEMALE
566,Nigeria,2014,9,2014,18+,FEMALE
578,Norway,2014,4,2014,18+,FEMALE
604,Peru,2014,0,2014,18+,FEMALE
616,Poland,2014,5,2014,18+,FEMALE
688,Serbia,2014,3,2014,18+,FEMALE
703,Slovakia,2014,12,2014,18+,FEMALE
804,Ukraine,2014,5,2014,18+,FEMALE
818,Egypt,2014,4,2014,18+,FEMALE
