Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Reporting Type]
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2002","25.5","2002","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2005","20.7","2005","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2008","18.2","2008","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2010","15.7","2010","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2011","13.7","2011","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2012","12.8","2012","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2013","11.2","2013","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","1","World","2015","9.9","2015","","","","World Development Indicators database, World Bank","Retrieved on March 20, 2019 from World Bank, PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). The income-country categories within the six geographical regions are (a) low- and middle-income countries and (b) countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia). See (http://iresearch.worldbank.org/PovcalNet/data.aspx).","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2002","12.3","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2005","9.5","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2008","6.3","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2010","5.2","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2011","4.8","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2012","4.2","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2013","4","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","5","South America","2015","3.2","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","8","Albania","2002","2","2002","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","8","Albania","2005","1.1","2005","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","8","Albania","2008","0.4","2008","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","8","Albania","2012","1.1","2012","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2002","13.6","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
