GeoAreaCode,GeoAreaName,TimePeriod,Value
8,Albania,2010,0.1
12,Algeria,2010,0.2
24,Angola,2010,29.8
32,Argentina,2010,0.7
50,Bangladesh,2010,16.0
51,Armenia,2010,0.3
64,Bhutan,2010,2.8
68,Bolivia (Plurinational State of),2010,7.9
70,Bosnia and Herzegovina,2010,0.0
72,Botswana,2010,10.5
76,Brazil,2010,2.1
84,Belize,2010,9.6
90,Solomon Islands,2010,28.7
104,Myanmar,2010,11.8
108,Burundi,2010,72.7
112,Belarus,2010,0.1
116,Cambodia,2010,34.8
120,Cameroon,2010,29.1
132,Cabo Verde,2010,3.4
140,Central African Republic,2010,59.6
144,Sri Lanka,2010,2.0
148,Chad,2010,33.5
152,Chile,2010,0.3
156,China,2010,12.1
170,Colombia,2010,5.0
174,Comoros,2010,13.2
178,Congo,2010,36.0
180,Democratic Republic of the Congo,2010,84.1
188,Costa Rica,2010,0.5
204,Benin,2010,46.1
214,Dominican Republic,2010,1.8
218,Ecuador,2010,5.6
222,El Salvador,2010,3.3
231,Ethiopia,2010,33.8
242,Fiji,2010,0.5
266,Gabon,2010,4.7
268,Georgia,2010,9.9
270,Gambia,2010,20.1
275,State of Palestine,2010,0.1
288,Ghana,2010,14.0
320,Guatemala,2010,4.7
324,Guinea,2010,55.9
328,Guyana,2010,4.6
340,Honduras,2010,11.6
356,India,2010,26.0
360,Indonesia,2010,12.1
364,Iran (Islamic Republic of),2010,0.2
368,Iraq,2010,0.5
384,Côte d'Ivoire,2010,30.2
388,Jamaica,2010,0.7
398,Kazakhstan,2010,0.0
400,Jordan,2010,0.2
404,Kenya,2010,34.2
410,Republic of Korea,2010,0.0
417,Kyrgyzstan,2010,1.3
418,Lao People's Democratic Republic,2010,20.0
422,Lebanon,2010,0.1
426,Lesotho,2010,26.8
430,Liberia,2010,60.8
450,Madagascar,2010,74.8
454,Malawi,2010,69.0
458,Malaysia,2010,0.1
462,Maldives,2010,0.4
466,Mali,2010,48.4
478,Mauritania,2010,6.4
480,Mauritius,2010,0.1
484,Mexico,2010,2.9
496,Mongolia,2010,0.2
498,Republic of Moldova,2010,0.1
499,Montenegro,2010,0.1
504,Morocco,2010,1.6
508,Mozambique,2010,65.9
516,Namibia,2010,13.8
524,Nepal,2010,13.0
562,Niger,2010,50.0
566,Nigeria,2010,46.3
586,Pakistan,2010,8.2
591,Panama,2010,2.2
598,Papua New Guinea,2010,30.4
600,Paraguay,2010,2.3
604,Peru,2010,6.0
608,Philippines,2010,7.3
624,Guinea-Bissau,2010,64.3
626,Timor-Leste,2010,25.4
643,Russian Federation,2010,0.0
646,Rwanda,2010,59.8
686,Senegal,2010,36.0
688,Serbia,2010,0.0
694,Sierra Leone,2010,57.5
704,Viet Nam,2010,4.0
710,South Africa,2010,4.4
716,Zimbabwe,2010,21.6
729,Sudan,2010,13.4
740,Suriname,2010,13.9
748,Eswatini,2010,30.8
760,Syrian Arab Republic,2010,0.2
762,Tajikistan,2010,4.0
764,Thailand,2010,0.1
768,Togo,2010,48.3
780,Trinidad and Tobago,2010,0.1
788,Tunisia,2010,0.6
792,Turkey,2010,0.2
795,Turkmenistan,2010,8.1
800,Uganda,2010,39.3
804,Ukraine,2010,0.0
807,North Macedonia,2010,6.3
818,Egypt,2010,1.6
834,United Republic of Tanzania,2010,49.0
854,Burkina Faso,2010,50.2
858,Uruguay,2010,0.0
860,Uzbekistan,2010,24.7
862,Venezuela (Bolivarian Republic of),2010,6.8
887,Yemen,2010,5.6
894,Zambia,2010,60.9
